sku,regular_price,stock,stock_status,published,date_sale_starts,date_sale_ends,sale_price,ALLOCATED_STOCK,NEW_STOCK_STATUS
3313886,21.5,1184,1,1,,,,1184,1
3334850,25,517,1,1,,,,517,1
3773444,27.45,311,1,1,,,,311,1
3794753,10.25,1512,1,1,,,,1512,1
5232598,21,32,1,1,,,,32,1
6256548,5.4,941,1,1,,,,941,1
6393335,18,67002,1,1,,,,67002,1
6393373,17.5,4727,1,1,,,,4727,1
6631147,38.5,109,1,1,,,,109,1
7530982,54.3,43,1,1,,,,43,1
8202529,20,188,1,1,,,,188,1
8938060,29.75,-3,2,1,,,,-3,2
8956989,22.8,2722,1,1,,,,2722,1
9070021,98,127,1,1,,,,127,1
9083975,61.75,10280,1,1,,,,10280,1
9128164,9.3,864,1,1,,,,864,1
9129079,17.5,76,1,1,,,,76,1
9219375,9.25,3100,1,1,,,,3100,1
9270836,6.05,26,1,1,,,,26,1
9377770,4.2,1837,1,1,,,,1837,1
9413022,62.75,6764,1,1,,,,6764,1
9612590,6.5,595,1,1,,,,595,1
9640010,58,17,1,1,,,,17,1
9733455,17.2,389,1,1,,,,389,1
9736638,6.85,12,1,1,,,,12,1
9739240,28.5,276,1,1,,,,276,1
9897461,54,7753,1,1,,,,7753,1
10017759,5.8,7835,1,1,,,,7835,1
101574326,14.5,13561,1,1,,,,13561,1
10164826,6.5,0,2,1,,,,0,2
101784074,70.8,844,1,1,,,,844,1
101926917,17.5,10,1,1,,,,10,1
102028442,5.5,414,1,1,,,,414,1
102222490,6.5,3748,1,1,,,,3748,1
102248157,112,1535,1,1,,,,1535,1
102419450,5.8,8604,1,1,,,,8604,1
102519874,25.25,457,1,1,,,,457,1
102547775,1066,0,2,1,,,,0,2
10264849,50,281,1,1,,,,281,1
102680374,25.1,-4,2,1,,,,-4,2
102736398,13.25,89,1,1,,,,89,1
102753297,115,2063,1,1,,,,2063,1
102806178,9.75,67198,1,1,,,,67198,1
102944395,119.5,1580,1,1,,,,1580,1
102970417,36,0,2,1,,,,0,2
103070799,5.35,817,1,1,,,,817,1
103156588,28,81,1,1,,,,81,1
103533884,8.5,0,2,1,,,,0,2
10574018,280,618,1,1,,,,618,1
10638548,23.25,227,1,1,,,,227,1
10730246,19.5,1742,1,1,,,,1742,1
15002274,22,2482,1,1,,,,2482,1
15003036,11,5820,1,1,,,,5820,1
2013763,28.65,1567,1,1,,,,1567,1
2019116,6.25,82,1,1,,,,82,1
2058399,23.75,691,1,1,,,,691,1
2063737,6.25,1584,1,1,,,,1584,1
2065175,7.25,13,1,1,,,,13,1
2065502,25,16,1,1,,,,16,1
2067582,20.3,1854,1,1,,,,1854,1
2085838,21,50,1,1,,,,50,1
2088792,8.25,51,1,1,,,,51,1
2091914,49,128,1,1,,,,128,1
2099392,75,3664,1,1,,,,3664,1
2112459,6.3,20,1,1,,,,20,1
2112701,56.75,8372,1,1,,,,8372,1
3118634,14.3,4002,1,1,,,,4002,1
4230694,23.25,2649,1,1,,,,2649,1
8402103,63.7,846,1,1,,,,846,1
8417480,33.5,6,1,1,,,,6,1
9118033,17.95,42,1,1,,,,42,1
9142740,21.15,595,1,1,,,,595,1
9142746,29.25,9216,1,1,,,,9216,1
9196718,24.5,382,1,1,,,,382,1
9216858,8.4,162,1,1,,,,162,1
9245724,6,635,1,1,,,,635,1
9268195,10.25,559,1,1,,,,559,1
9268660,9.95,606,1,1,,,,606,1
9287582,8.5,1165,1,1,,,,1165,1
9304841,17.3,658,1,1,,,,658,1
9378636,25,-20,2,1,,,,-20,2
9378666,32.5,-4,2,1,,,,-4,2
9462912,12.45,-1,2,1,,,,-1,2
9522508,16.65,1,1,1,,,,1,1
9733454,18,703,1,1,,,,703,1
9771218,15.7,891,1,1,,,,891,1
9777626,23.5,236,1,1,,,,236,1
9796444,24.5,-84,2,1,,,,-84,2
9887384,4.2,2447,1,1,,,,2447,1
10062276,36.55,1570,1,1,,,,1570,1
10095193,25.25,874,1,1,,,,874,1
10122799,43.25,148,1,1,,,,148,1
10154459,6.55,1665,1,1,,,,1665,1
10164363,36,2038,1,1,,,,2038,1
10198147,66.25,3,1,1,,,,3,1
102555718,8.5,94,1,1,,,,94,1
102741453,22,302,1,1,,,,302,1
102779589,74.2,311,1,1,,,,311,1
102903701,14.5,62,1,1,,,,62,1
103001020,79,58,1,1,,,,58,1
103103535,113,31,1,1,,,,31,1
103162126,115,242,1,1,,,,242,1
103281194,39,0,2,1,,,,0,2
103606897,65.5,62,1,1,,,,62,1
103606900,26.25,707,1,1,,,,707,1
103649635,117.5,1931,1,1,,,,1931,1
10625763,107,30,1,1,,,,30,1
10677353,17.5,407,1,1,,,,407,1
10776630,83,248,1,1,,,,248,1
10920725,6.5,13088,1,1,,,,13088,1
15003212,54,956,1,1,,,,956,1
1989328,71.7,-8,2,1,,,,-8,2
2008837,15.4,718,1,1,,,,718,1
2061542,9.75,782,1,1,,,,782,1
2068268,8.05,82,1,1,,,,82,1
2069012,43,246,1,1,,,,246,1
2077185,43.25,737,1,1,,,,737,1
2086439,35.4,585,1,1,,,,585,1
2086460,8,881,1,1,,,,881,1
2092911,30.25,1815,1,1,,,,1815,1
2110912,7.85,-78,2,1,,,,-78,2
3781357,68.35,921,1,1,,,,921,1
4205128,5.5,10399,1,1,,,,10399,1
4218395,7.5,860,1,1,,,,860,1
5565498,1.5,4841,1,1,,,,4841,1
6447779,11,1975,1,1,,,,1975,1
9070026,323.75,1,1,1,,,,1,1
9111641,7.5,6826,1,1,,,,6826,1
9166462,73.25,429,1,1,,,,429,1
9172002,20.05,470,1,1,,,,470,1
9216859,8.4,413,1,1,,,,413,1
9229170,65,498,1,1,,,,498,1
9257330,34.75,2424,1,1,,,,2424,1
9300969,7.75,3512,1,1,,,,3512,1
9304830,15.25,5,1,1,,,,5,1
9311773,8,5763,1,1,,,,5763,1
9354893,10.1,556,1,1,,,,556,1
9355001,63.7,1470,1,1,,,,1470,1
9377775,4.2,1921,1,1,,,,1921,1
9716380,18,8214,1,1,,,,8214,1
9733450,16.75,563,1,1,,,,563,1
9790857,7.75,728,1,1,,,,728,1
9893963,73.25,17,1,1,,,,17,1
9897463,54,5821,1,1,,,,5821,1
9945757,8,1036,1,1,,,,1036,1
9985068,8,-463,2,1,,,,-463,2
10005413,10,22,1,1,,,,22,1
10075820,6.55,-4,2,1,,,,-4,2
10124094,6.15,13122,1,1,,,,13122,1
101492461,9.65,54,1,1,,,,54,1
101590056,20.6,1049,1,1,,,,1049,1
10178012,49.75,1242,1,1,,,,1242,1
101784052,70.8,519,1,1,,,,519,1
101921482,20,81,1,1,,,,81,1
10198148,66.25,1214,1,1,,,,1214,1
101997425,30,61,1,1,,,,61,1
102030867,8.5,14831,1,1,,,,14831,1
102056106,9.25,2092,1,1,,,,2092,1
102187789,79.2,2489,1,1,,,,2489,1
102188852,6.25,1115,1,1,,,,1115,1
102300692,59.4,10,1,1,,,,10,1
102321769,6,30,1,1,,,,30,1
102361551,9.5,1274,1,1,,,,1274,1
102377202,36,0,2,1,,,,0,2
102377277,36,-115,2,1,,,,-115,2
102378075,19.25,156,1,1,,,,156,1
102502386,12.25,1817,1,1,,,,1817,1
102573384,10.8,837,1,1,,,,837,1
102573386,10.8,2308,1,1,,,,2308,1
102577588,14.5,2151,1,1,,,,2151,1
102781589,15.5,240,1,1,,,,240,1
102801839,5.85,5547,1,1,,,,5547,1
10285307,11,733,1,1,,,,733,1
102903705,14.5,893,1,1,,,,893,1
103002707,8.5,6667,1,1,,,,6667,1
103039610,37.5,218,1,1,,,,218,1
103210985,22.8,733,1,1,,,,733,1
103367323,39,23,1,1,,,,23,1
103660706,214,0,2,1,,,,0,2
10508100,33.3,18,1,1,,,,18,1
2025575,61.75,407,1,1,,,,407,1
2032160,61.75,381,1,1,,,,381,1
2035314,33.85,1690,1,1,,,,1690,1
2065410,22,48,1,1,,,,48,1
2071909,19,562,1,1,,,,562,1
2080079,41.5,0,2,1,,,,0,2
2086446,20.1,-2,2,1,,,,-2,2
2088860,8.25,14619,1,1,,,,14619,1
2092935,52.25,1471,1,1,,,,1471,1
2099224,32,672,1,1,,,,672,1
3781333,62.25,22,1,1,,,,22,1
